county_FIPS,phase,iteration,alpha_old,beta_old,alpha_new,beta_new,forward_mean,T_target_c,T_c,N_c,R_c,r_frac,f_target,calib_target_source,bias_pct,adjustment_direction,converged
06001,1,1,2.0,5.0,4.465,2.535,195612.4,502469.0,506826.0,435699,71127,0.8755,0.99,acs_clipped,-0.610698,increase,False
06001,1,2,4.465,2.535,5.6975,1.3025,349040.7,502469.0,506826.0,435699,71127,0.8755,0.99,acs_clipped,-0.305349,increase,False
06001,1,3,5.6975,1.3025,6.3138,0.6862,425754.9,502469.0,506826.0,435699,71127,0.8755,0.99,acs_clipped,-0.152674,increase,False
06001,1,4,6.3138,0.6862,6.3138,0.6862,464111.9,502469.0,506826.0,435699,71127,0.8755,0.99,acs_clipped,-0.076337,within_band,True
06001,2,0,6.3138,0.6862,6.3138,0.6862,506043.0,506826.0,506826.0,435699,71127,0.8755,0.99,acs_clipped,-0.001545,P95_check_pass=True,True
06003,1,1,2.0,5.0,3.7367,3.2633,1189.3,1617.0,1805.0,862,943,0.9439,0.7819,acs,-0.26451,increase,False
06003,1,2,3.7367,3.2633,4.605,2.395,1403.1,1617.0,1805.0,862,943,0.9439,0.7819,acs,-0.132255,increase,False
06003,1,3,4.605,2.395,4.605,2.395,1510.1,1617.0,1805.0,862,943,0.9439,0.7819,acs,-0.066127,within_band,True
06003,2,0,4.605,2.395,4.605,2.395,1723.2,1805.0,1805.0,862,943,0.9439,0.7819,acs,-0.045332,P95_check_pass=True,True
06005,1,1,2.0,5.0,3.6544,3.3456,7327.1,18813.9,24685.0,24301,384,0.5655,0.7584,acs,-0.610546,increase,False
06005,1,2,3.6544,3.3456,4.4816,2.5184,13070.5,18813.9,24685.0,24301,384,0.5655,0.7584,acs,-0.305273,increase,False
06005,1,3,4.4816,2.5184,4.8952,2.1048,15942.2,18813.9,24685.0,24301,384,0.5655,0.7584,acs,-0.152636,increase,False
06005,1,4,4.8952,2.1048,4.8952,2.1048,17378.0,18813.9,24685.0,24301,384,0.5655,0.7584,acs,-0.076318,within_band,True
06005,2,0,4.8952,2.1048,4.8952,2.1048,22963.0,24685.0,24685.0,24301,384,0.5655,0.7584,acs,-0.069759,P95_check_pass=True,True
06007,1,1,2.0,5.0,4.1357,2.8643,31055.1,93072.6,103653.0,101637,2016,0.5523,0.8959,acs,-0.666334,increase,False
06007,1,2,4.1357,2.8643,5.2035,1.7965,62063.9,93072.6,103653.0,101637,2016,0.5523,0.8959,acs,-0.333167,increase,False
06007,1,3,5.2035,1.7965,5.7374,1.2626,77568.2,93072.6,103653.0,101637,2016,0.5523,0.8959,acs,-0.166584,increase,False
06007,1,4,5.7374,1.2626,5.7374,1.2626,85320.4,93072.6,103653.0,101637,2016,0.5523,0.8959,acs,-0.083292,within_band,True
06007,2,0,5.7374,1.2626,5.7374,1.2626,101788.6,103653.0,103653.0,101637,2016,0.5523,0.8959,acs,-0.017987,P95_check_pass=True,True
06009,1,1,2.0,5.0,3.0818,3.9182,13314.6,27519.2,46141.0,45957,184,0.4706,0.5948,acs,-0.516172,increase,False
06009,1,2,3.0818,3.9182,3.6227,3.3773,20416.9,27519.2,46141.0,45957,184,0.4706,0.5948,acs,-0.258086,increase,False
06009,1,3,3.6227,3.3773,3.8931,3.1069,23968.1,27519.2,46141.0,45957,184,0.4706,0.5948,acs,-0.129043,increase,False
06009,1,4,3.8931,3.1069,3.8931,3.1069,25743.6,27519.2,46141.0,45957,184,0.4706,0.5948,acs,-0.064521,within_band,True
06009,2,0,3.8931,3.1069,3.8931,3.1069,38580.7,46141.0,46141.0,45957,184,0.4706,0.5948,acs,-0.163852,P95_check_pass=True,True
06011,1,1,2.0,5.0,2.9184,4.0816,5002.7,8106.5,13452.0,11829,1623,0.796,0.5481,acs,-0.382874,increase,False
06011,1,2,2.9184,4.0816,3.3775,3.6225,6554.6,8106.5,13452.0,11829,1623,0.796,0.5481,acs,-0.191437,increase,False
06011,1,3,3.3775,3.6225,3.3775,3.6225,7330.5,8106.5,13452.0,11829,1623,0.796,0.5481,acs,-0.095719,within_band,True
06011,2,0,3.3775,3.6225,3.3775,3.6225,10807.4,13452.0,13452.0,11829,1623,0.796,0.5481,acs,-0.196594,P95_check_pass=True,True
06013,1,1,2.0,5.0,4.465,2.535,132694.7,378252.4,381739.0,348662,33077,0.8296,0.99,acs_clipped,-0.64919,increase,False
06013,1,2,4.465,2.535,5.6975,1.3025,255473.5,378252.4,381739.0,348662,33077,0.8296,0.99,acs_clipped,-0.324595,increase,False
06013,1,3,5.6975,1.3025,6.3138,0.6862,316863.0,378252.4,381739.0,348662,33077,0.8296,0.99,acs_clipped,-0.162298,increase,False
06013,1,4,6.3138,0.6862,6.3138,0.6862,347557.7,378252.4,381739.0,348662,33077,0.8296,0.99,acs_clipped,-0.081149,within_band,True
06013,2,0,6.3138,0.6862,6.3138,0.6862,381112.4,381739.0,381739.0,348662,33077,0.8296,0.99,acs_clipped,-0.001641,P95_check_pass=True,True
06015,1,1,2.0,5.0,3.7279,3.2721,4244.4,11103.2,14168.0,13893,275,0.5478,0.7794,acs,-0.617729,increase,False
06015,1,2,3.7279,3.2721,4.5918,2.4082,7673.8,11103.2,14168.0,13893,275,0.5478,0.7794,acs,-0.308865,increase,False
06015,1,3,4.5918,2.4082,5.0238,1.9762,9388.5,11103.2,14168.0,13893,275,0.5478,0.7794,acs,-0.154432,increase,False
06015,1,4,5.0238,1.9762,5.0238,1.9762,10245.9,11103.2,14168.0,13893,275,0.5478,0.7794,acs,-0.077216,within_band,True
06015,2,0,5.0238,1.9762,5.0238,1.9762,13319.4,14168.0,14168.0,13893,275,0.5478,0.7794,acs,-0.059896,P95_check_pass=True,True
06017,1,1,2.0,5.0,4.1976,2.8024,34655.9,93676.5,101798.0,93999,7799,0.8773,0.9136,acs,-0.630047,increase,False
06017,1,2,4.1976,2.8024,5.2964,1.7036,64166.2,93676.5,101798.0,93999,7799,0.8773,0.9136,acs,-0.315024,increase,False
